236,El Golea Airport,El Golea,Algeria,ELG,DAUE,30.57130051,2.859590054,1306
237,Noumérat - Moufdi Zakaria Airport,Ghardaia,Algeria,GHA,DAUG,32.38410187,3.79411006,1512
238,Oued Irara Airport,Hassi Messaoud,Algeria,HME,DAUH,31.67300034,6.140439987,463
239,In Salah Airport,In Salah,Algeria,INZ,DAUI,27.25099945,2.512020111,896
240,Touggourt Sidi Madhi Airport,Touggourt,Algeria,TGR,DAUK,33.06779861,6.088669777,279
241,Laghouat Airport,Laghouat,Algeria,LOO,DAUL,33.76440048,2.928339958,2510
242,Timimoun Airport,Timimoun,Algeria,TMX,DAUT,29.2371006,0.276033014,1027
243,Ain el Beida Airport,Ouargla,Algeria,OGX,DAUU,31.91720009,5.412779808,492
244,In Aménas Airport,Zarzaitine,Algeria,IAM,DAUZ,28.05150032,9.642910004,1847
245,Cadjehoun Airport,Cotonou,Benin,COO,DBBB,6.357230186,2.384350061,19
246,Ouagadougou Airport,Ouagadougou,Burkina Faso,OUA,DFFD,12.35319996,-1.512420058,1037
247,Bobo Dioulasso Airport,Bobo-dioulasso,Burkina Faso,BOY,DFOO,11.16009998,-4.33096981,1511
248,Kotoka International Airport,Accra,Ghana,ACC,DGAA,5.6051898,-0.166786,205
249,Tamale Airport,Tamale,Ghana,TML,DGLE,9.557189941,-0.863214016,553
251,Sunyani Airport,Sunyani,Ghana,NYI,DGSN,7.361830235,-2.328759909,1014
252,Takoradi Airport,Takoradi,Ghana,TKD,DGTK,4.89605999,-1.774760008,21
253,Port Bouet Airport,Abidjan,Cote d'Ivoire,ABJ,DIAP,5.261390209,-3.926290035,21
254,Bouaké Airport,Bouake,Cote d'Ivoire,BYK,DIBK,7.738800049,-5.07366991,1230
255,Daloa Airport,Daloa,Cote d'Ivoire,DJO,DIDL,6.792809963,-6.473189831,823
256,Korhogo Airport,Korhogo,Cote d'Ivoire,HGO,DIKO,9.387180328,-5.556660175,1214
257,Man Airport,Man,Cote d'Ivoire,MJC,DIMN,7.272069931,-7.587359905,1089
258,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,DISP,4.746719837,-6.660820007,26
259,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,DIYO,6.903170109,-5.365580082,699
260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,DNAA,9.006790161,7.263169765,1123
261,Akure Airport,Akure,Nigeria,AKR,DNAK,7.246739864,5.301010132,1100
262,Benin Airport,Benin,Nigeria,BNI,DNBE,6.316979885,5.599500179,258
263,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,DNCA,4.976019859,8.347200394,210
264,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,DNEN,6.474269867,7.56196022,466
265,Gusau Airport,Gusau,Nigeria,QUS,DNGU,12.17169952,6.696109772,1520
266,Ibadan Airport,Ibadan,Nigeria,IBA,DNIB,7.362460136,3.978329897,725
267,Ilorin International Airport,Ilorin,Nigeria,ILR,DNIL,8.440210342,4.493919849,1126
268,Yakubu Gowon Airport,Jos,Nigeria,JOS,DNJO,9.639829636,8.869050026,4232
269,Kaduna Airport,Kaduna,Nigeria,KAD,DNKA,10.6960001,7.320109844,2073
270,Mallam Aminu International Airport,Kano,Nigeria,KAN,DNKN,12.04759979,8.524620056,1562
271,Maiduguri International Airport,Maiduguri,Nigeria,MIU,DNMA,11.85529995,13.08090019,1099
272,Makurdi Airport,Makurdi,Nigeria,MDI,DNMK,7.703879833,8.613940239,371
273,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,DNMM,6.577370167,3.321160078,135
274,Minna Airport,Minna,Nigeria,MXJ,DNMN,9.652170181,6.462259769,834
275,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,DNPO,5.015490055,6.949590206,87
276,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,DNSO,12.91629982,5.207190037,1010
277,Yola Airport,Yola,Nigeria,YOL,DNYO,9.25755024,12.43039989,599
278,Zaria Airport,Zaria,Nigeria,ZAR,DNZA,11.13020039,7.685810089,2170
279,Maradi Airport,Maradi,Niger,MFQ,DRRM,13.50249958,7.126749992,1240
280,Diori Hamani International Airport,Niamey,Niger,NIM,DRRN,13.48149967,2.183609962,732
281,Tahoua Airport,Tahoua,Niger,THZ,DRRT,14.8757,5.265359879,1266
282,Mano Dayak International Airport,Agadez,Niger,AJY,DRZA,16.9659996,8.000109673,1657
285,Zinder Airport,Zinder,Niger,ZND,DRZR,13.77900028,8.98375988,1516
286,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,DTMB,35.7580986,10.75469971,9
287,Tunis Carthage International Airport,Tunis,Tunisia,TUN,DTTA,36.85100174,10.22719955,22
290,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,DTTF,34.42200089,8.822500229,1060
291,Gabès Matmata International Airport,Gabes,Tunisia,GAE,DTTG,33.87689972,10.10330009,26
293,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,DTTJ,33.875,10.7755003,19
294,El Borma Airport,El Borma,Tunisia,EBM,DTTR,31.70429993,9.254619598,827
295,Sfax Thyna International Airport,Sfax,Tunisia,SFA,DTTX,34.7179985,10.69099998,85
296,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,DTTZ,33.93970108,8.110560417,287
297,Niamtougou International Airport,Niatougou,Togo,LRL,DXNG,9.76733017,1.091249943,1515
298,Lomé-Tokoin Airport,Lome,Togo,LFW,DXXX,6.165609837,1.254510045,72
299,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,EBAW,51.18939972,4.460279942,39
302,Brussels Airport,Brussels,Belgium,BRU,EBBR,50.90140152,4.48443985,184
304,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,EBCI,50.45920181,4.453820229,614
308,Wevelgem Airport,Kortrijk-vevelgem,Belgium,QKT,EBKT,50.81719971,3.20472002,64
309,Liège Airport,Liege,Belgium,LGG,EBLG,50.63740158,5.443220139,659
310,Ostend-Bruges International Airport,Ostend,Belgium,OST,EBOS,51.19889832,2.862220049,13
318,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,EDAC,50.98194504,12.50638866,640
329,Barth Airport,Barth,Germany,BBH,EDBH,54.338253,12.710515,23
337,Berlin-Schönefeld International Airport,Berlin,Germany,SXF,EDDB,52.38000107,13.52250004,157
